0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,953,,,,,,,,,,,,,,,,,,,,,,,,
0,384,323.0,173.0,383.0,,,,,,,,,,,,,,,,,,,,,
0,86,,,,,,,,,,,,,,,,,,,,,,,,
0,691,271.0,,,,,,,,,,,,,,,,,,,,,,,
0,290,540.0,,,,,,,,,,,,,,,,,,,,,,,
1,291,422.0,390.0,522.0,714.0,748.0,275.0,699.0,28.0,,,,,,,,,,,,,,,,
1,646,905.0,266.0,780.0,533.0,534.0,284.0,31.0,289.0,295.0,429.0,430.0,78.0,471.0,218.0,862.0,876.0,505.0,,,,,,,
1,1850,862.0,1129.0,,,,,,,,,,,,,,,,,,,,,,
1011,2007,,,,,,,,,,,,,,,,,,,,,,,,
2040,1011,,,,,,,,,,,,,,,,,,,,,,,,
2040,1011,,,,,,,,,,,,,,,,,,,,,,,,
2,3151,,,,,,,,,,,,,,,,,,,,,,,,
648,2865,1012.0,,,,,,,,,,,,,,,,,,,,,,,
1012,1349,,,,,,,,,,,,,,,,,,,,,,,,
1500,1013,1725.0,,,,,,,,,,,,,,,,,,,,,,,
1545,1013,1725.0,,,,,,,,,,,,,,,,,,,,,,,
1013,1725,,,,,,,,,,,,,,,,,,,,,,,,
1058,1445,2118.0,1801.0,1236.0,1013.0,1046.0,1500.0,1725.0,,,,,,,,,,,,,,,,,
1744,1380,1733.0,1014.0,,,,,,,,,,,,,,,,,,,,,,
1059,1014,,,,,,,,,,,,,,,,,,,,,,,,
1059,1380,1680.0,1744.0,1014.0,,,,,,,,,,,,,,,,,,,,,
1088,1058,1891.0,1219.0,1860.0,1067.0,1070.0,1015.0,1396.0,1687.0,441.0,1242.0,1500.0,1150.0,,,,,,,,,,,,
1891,1444,1478.0,1015.0,1083.0,,,,,,,,,,,,,,,,,,,,,
1444,1478,1015.0,1083.0,1439.0,,,,,,,,,,,,,,,,,,,,,
1083,1397,1015.0,,,,,,,,,,,,,,,,,,,,,,,
2183,79,,,,,,,,,,,,,,,,,,,,,,,,
32,685,2183.0,,,,,,,,,,,,,,,,,,,,,,,
460,2183,,,,,,,,,,,,,,,,,,,,,,,,
1016,1620,,,,,,,,,,,,,,,,,,,,,,,,
3,295,749.0,304.0,819.0,503.0,120.0,,,,,,,,,,,,,,,,,,,
2184,2306,2261.0,,,,,,,,,,,,,,,,,,,,,,,
2184,2306,2261.0,,,,,,,,,,,,,,,,,,,,,,,
2185,3042,2812.0,,,,,,,,,,,,,,,,,,,,,,,
1624,1017,978.0,1549.0,,,,,,,,,,,,,,,,,,,,,,
1017,326,,,,,,,,,,,,,,,,,,,,,,,,
739,4,294.0,,,,,,,,,,,,,,,,,,,,,,,
646,2091,780.0,1019.0,30.0,,,,,,,,,,,,,,,,,,,,,
97,5,329.0,274.0,916.0,661.0,,,,,,,,,,,,,,,,,,,,
97,5,329.0,274.0,916.0,661.0,,,,,,,,,,,,,,,,,,,,
329,5,661.0,,,,,,,,,,,,,,,,,,,,,,,
5,661,,,,,,,,,,,,,,,,,,,,,,,,
97,5,63.0,,,,,,,,,,,,,,,,,,,,,,,
1896,1021,,,,,,,,,,,,,,,,,,,,,,,,
643,6,,,,,,,,,,,,,,,,,,,,,,,,
643,6,,,,,,,,,,,,,,,,,,,,,,,,
1024,1077,,,,,,,,,,,,,,,,,,,,,,,,
514,867,677.0,8.0,44.0,14.0,270.0,431.0,308.0,341.0,925.0,478.0,,,,,,,,,,,,,,
8,308,,,,,,,,,,,,,,,,,,,,,,,,
2105,1634,1029.0,1695.0,,,,,,,,,,,,,,,,,,,,,,
1401,1029,,,,,,,,,,,,,,,,,,,,,,,,
1538,1029,1141.0,1911.0,,,,,,,,,,,,,,,,,,,,,,
2128,1941,1030.0,,,,,,,,,,,,,,,,,,,,,,,
1794,2003,1031.0,1930.0,,,,,,,,,,,,,,,,,,,,,,
961,1645,1031.0,,,,,,,,,,,,,,,,,,,,,,,
1488,1031,,,,,,,,,,,,,,,,,,,,,,,,
568,9,583.0,,,,,,,,,,,,,,,,,,,,,,,
385,386,387.0,932.0,933.0,584.0,9.0,654.0,847.0,,,,,,,,,,,,,,,,,
9,290,33.0,,,,,,,,,,,,,,,,,,,,,,,
9,753,,,,,,,,,,,,,,,,,,,,,,,,
9,398,,,,,,,,,,,,,,,,,,,,,,,,
824,9,933.0,158.0,,,,,,,,,,,,,,,,,,,,,,
434,11,,,,,,,,,,,,,,,,,,,,,,,,
11,204,,,,,,,,,,,,,,,,,,,,,,,,
1033,1946,1363.0,2014.0,,,,,,,,,,,,,,,,,,,,,,
1033,2015,,,,,,,,,,,,,,,,,,,,,,,,
1033,2014,,,,,,,,,,,,,,,,,,,,,,,,
1035,1054,,,,,,,,,,,,,,,,,,,,,,,,
1037,1615,,,,,,,,,,,,,,,,,,,,,,,,
1040,1037,,,,,,,,,,,,,,,,,,,,,,,,
1411,1475,1037.0,1040.0,1042.0,1047.0,,,,,,,,,,,,,,,,,,,,
2196,972,,,,,,,,,,,,,,,,,,,,,,,,
2196,972,2901.0,55.0,,,,,,,,,,,,,,,,,,,,,,
1776,1769,1090.0,1038.0,,,,,,,,,,,,,,,,,,,,,,
1776,1769,1090.0,1038.0,,,,,,,,,,,,,,,,,,,,,,
1090,1924,1038.0,1776.0,1107.0,1174.0,,,,,,,,,,,,,,,,,,,,
57,1038,2119.0,,,,,,,,,,,,,,,,,,,,,,,
57,1038,1047.0,,,,,,,,,,,,,,,,,,,,,,,
57,1636,1038.0,,,,,,,,,,,,,,,,,,,,,,,
57,1038,,,,,,,,,,,,,,,,,,,,,,,,
1937,1850,862.0,1039.0,,,,,,,,,,,,,,,,,,,,,,
1040,1599,,,,,,,,,,,,,,,,,,,,,,,,
1040,1371,1076.0,1599.0,,,,,,,,,,,,,,,,,,,,,,
1041,1307,1475.0,1119.0,,,,,,,,,,,,,,,,,,,,,,
1667,1543,2202.0,79.0,3153.0,3028.0,3162.0,828.0,,,,,,,,,,,,,,,,,,
1664,1279,1895.0,1006.0,882.0,179.0,3028.0,887.0,88.0,2202.0,31.0,,,,,,,,,,,,,,,
609,34,1667.0,37.0,1543.0,462.0,79.0,3028.0,278.0,2202.0,,,,,,,,,,,,,,,,
609,2202,3028.0,79.0,,,,,,,,,,,,,,,,,,,,,,
1042,1615,,,,,,,,,,,,,,,,,,,,,,,,
1634,1043,,,,,,,,,,,,,,,,,,,,,,,,
1634,1043,2139.0,1695.0,,,,,,,,,,,,,,,,,,,,,,
1634,1894,1351.0,1043.0,1116.0,,,,,,,,,,,,,,,,,,,,,
1481,1634,1043.0,1116.0,,,,,,,,,,,,,,,,,,,,,,
1634,1043,,,,,,,,,,,,,,,,,,,,,,,,
1892,1044,,,,,,,,,,,,,,,,,,,,,,,,
1045,1470,,,,,,,,,,,,,,,,,,,,,,,,
2080,1705,1045.0,1470.0,,,,,,,,,,,,,,,,,,,,,,
2080,1916,1045.0,1470.0,,,,,,,,,,,,,,,,,,,,,,
1886,1470,1045.0,1870.0,,,,,,,,,,,,,,,,,,,,,,
2080,2002,1045.0,1470.0,,,,,,,,,,,,,,,,,,,,,,
2002,1045,1470.0,,,,,,,,,,,,,,,,,,,,,,,
2050,1542,1423.0,1045.0,1143.0,1470.0,,,,,,,,,,,,,,,,,,,,
2003,1045,1470.0,,,,,,,,,,,,,,,,,,,,,,,
2657,1125,1902.0,1046.0,1532.0,,,,,,,,,,,,,,,,,,,,,
2657,1125,1902.0,1046.0,1532.0,,,,,,,,,,,,,,,,,,,,,
2658,1532,1046.0,,,,,,,,,,,,,,,,,,,,,,,
1690,1125,1046.0,,,,,,,,,,,,,,,,,,,,,,,
57,1047,,,,,,,,,,,,,,,,,,,,,,,,
1047,1599,,,,,,,,,,,,,,,,,,,,,,,,
2034,1047,1775.0,,,,,,,,,,,,,,,,,,,,,,,
3099,2206,,,,,,,,,,,,,,,,,,,,,,,,
1050,172,1524.0,,,,,,,,,,,,,,,,,,,,,,,
1057,1050,1787.0,1524.0,,,,,,,,,,,,,,,,,,,,,,
12,502,655.0,,,,,,,,,,,,,,,,,,,,,,,
1740,12,,,,,,,,,,,,,,,,,,,,,,,,
364,12,799.0,,,,,,,,,,,,,,,,,,,,,,,
1890,1636,1253.0,57.0,1051.0,,,,,,,,,,,,,,,,,,,,,
2210,1707,3085.0,,,,,,,,,,,,,,,,,,,,,,,
969,2210,1063.0,,,,,,,,,,,,,,,,,,,,,,,
1066,1055,,,,,,,,,,,,,,,,,,,,,,,,
1066,1055,,,,,,,,,,,,,,,,,,,,,,,,
1066,1055,,,,,,,,,,,,,,,,,,,,,,,,
691,13,,,,,,,,,,,,,,,,,,,,,,,,
16,497,822.0,472.0,542.0,,,,,,,,,,,,,,,,,,,,,
1634,2213,,,,,,,,,,,,,,,,,,,,,,,,
3235,2214,,,,,,,,,,,,,,,,,,,,,,,,
1680,1059,1380.0,1744.0,,,,,,,,,,,,,,,,,,,,,,
18,604,847.0,,,,,,,,,,,,,,,,,,,,,,,
20,663,,,,,,,,,,,,,,,,,,,,,,,,
1864,1060,,,,,,,,,,,,,,,,,,,,,,,,
100,934,679.0,390.0,551.0,1005.0,21.0,439.0,,,,,,,,,,,,,,,,,,
