235,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,1666,1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,1058,1211,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,603,1163,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,140,251,323,535,865,932,1024,1505,1823,2476,2487,2555,2560,2580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,1019,1659,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,270,339,495,573,723,773,1137,1983,2078,2406,2425,2474,2566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2415,2438,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,424,571,1762,2331,2495,2694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,538,1822,2281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,1010,1578,1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,114,171,488,761,798,1124,1390,1566,1567,1661,1888,2053,2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,701,1019,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2487,2555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1184,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,1391,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,1787,1871,2385,2676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,803,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,249,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,2268,2445,2569,2579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,1213,1557,1958,2058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,2648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1098,1719,1911,1925,1984,2087,2133,2199,2206,2259,2261,2379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,948,1043,1254,1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,701,1019,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,129,1175,1204,1628,1728,2309,2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,844,1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,1850,2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,791,2555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,406,821,823,1055,1059,1283,1284,1318,1547,1939,2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,2138,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,1884,1885,1886,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,459,1469,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,2284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,285,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,446,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,1802,1899,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,2608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,359,949,1068,1418,1517,1612,1871,2019,2147,2322,2376,2422,2498,2499,2500,2505,2567,,,,,,,,,,,,,,,,,,,,,,,,,
802,973,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,785,862,1812,2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,497,1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,347,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,1682,2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,2414,2507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,365,2112,2572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,276,467,729,1602,1945,1993,2000,2115,2546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1404,2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1036,1662,2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,1054,1408,1409,1736,1816,1921,1931,2220,2402,2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,1157,1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,248,260,279,342,398,419,464,619,638,776,1324,1326,1527,1543,1747,1894,2069,2088,2144,2160,2161,2166,2167,2292,2434,2473,2524,2525,2559,,,,,,,,,,,,,
337,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144,2160,2166,2167,2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,172,245,284,289,583,612,629,858,991,1084,1122,1163,1278,1348,1534,1535,1537,1556,1597,2303,2372,2544,2556,,,,,,,,,,,,,,,,,,,
51,645,742,998,1141,1240,1241,2634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,593,594,1194,1448,1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,768,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,1277,1663,1719,1925,2087,2133,2206,2259,2261,2269,2277,2643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,825,1215,1228,1707,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,1330,1331,1332,1696,1771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,1419,1425,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,761,1025,2015,2054,2098,2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,1316,1970,2113,2486,2623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,547,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,682,1791,1860,2430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,842,1045,1443,1540,1914,2176,2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,1613,1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,749,2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,236,654,1107,1275,1617,2290,2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,1919,2253,2493,2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,1897,2146,2467,2468,2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,965,966,1131,1140,1221,1253,1311,1481,1673,2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,278,623,1064,1083,1172,1660,1777,1802,1898,1937,2064,2097,2108,2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,1265,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,690,1041,2256,2457,2597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,2534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,616,2247,2263,2701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,1313,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,1085,1266,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,1121,1214,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,611,864,1499,1935,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,1045,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,2263,2701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2229,2339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,881,1119,1203,1411,2203,2397,2405,2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,426,1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,239,277,483,548,656,683,843,906,1378,1791,1860,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,474,1947,2557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,2547,2697,2698,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,2318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,2159,2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,730,1179,1599,1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,1056,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,379,756,1881,2158,2449,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,1774,1875,2439,2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,317,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,555,556,574,615,848,1006,1032,2040,2246,2360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,2014,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,2416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,835,1248,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,1354,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,2638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,1779,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,848,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2128,2479,2652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,416,892,1713,1716,1761,1978,1982,1991,2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,2021,2428,2662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2110,2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,995,1230,1231,1736,2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,999,1087,1463,1512,1608,2067,2596,2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,1129,1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,372,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,2003,2515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,1965,2047,2111,2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,2459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,1242,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,384,435,2363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,2209,2689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,1058,1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,199,574,615,848,1027,1388,1586,1835,2011,2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,1165,1500,2539,2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,1831,1832,1836,2688,2705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,2641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,293,387,458,576,605,639,804,808,863,929,1051,1056,1200,1300,1450,1710,1822,1932,2026,2442,2503,2576,2678,,,,,,,,,,,,,,,,,,,
445,2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,1615,1639,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,2293,2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,1894,2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,1096,1334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25,267,334,732,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,1145,1323,1526,2383,2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,2114,2124,2681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,1451,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2141,2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,579,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,1775,1788,1793,1794,1795,2143,2178,2181,2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,1842,2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2528,2690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,1847,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2262,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1120,1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,1329,1893,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,2691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,1918,2057,2080,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
