538,163,219,,
1114,163,,,
881,427,2667,163,
163,427,343,1305,1303
1136,163,,,
566,163,1206,,
1409,523,2220,163,
129,163,1969,2165,1719
1834,163,55,,
1153,163,100,1380,1379
1184,163,188,,
2490,163,,,
1728,1729,163,1016,793
2409,163,501,503,
2529,145,163,2164,
582,2067,163,430,
1153,163,,,
1696,793,1130,163,
163,1523,,,
1424,163,2205,727,
1696,163,1936,,
744,163,2030,743,
163,764,,,
1184,163,1533,846,
163,934,,,
1153,163,,,
163,965,910,,
1249,163,1715,1592,793
1696,1257,163,1771,
2280,145,163,,
145,163,,,
1441,163,1380,941,
1136,1946,163,1796,
163,2237,,,
2298,163,,,
537,163,,,
1136,163,,,
1136,1305,163,,
1016,793,1153,163,
1136,163,,,
1016,793,1153,163,
1216,1218,163,343,2202
1696,163,2211,995,
1153,163,938,728,793
163,343,,,
1016,793,1153,163,
168,163,,,
565,523,163,902,
636,163,2204,846,
163,294,,,
163,965,910,,
1016,163,,,
163,1523,,,
163,1462,569,826,828
163,1117,1333,,
163,2220,1583,219,2396
538,163,219,,
1534,289,163,582,
163,37,38,247,219
1952,503,163,1583,
163,188,,,
163,1060,2039,,
129,163,42,144,189
163,910,247,,
1784,163,,,
163,132,143,,
1224,163,638,,
1113,163,793,,
378,163,1333,430,
129,163,,,
523,163,,,
793,163,188,189,
163,659,,,
163,910,,,
2058,163,411,,
163,1646,,,
163,2030,,,
744,2659,163,2030,
163,2030,,,
793,163,,,
1139,163,,,
2202,163,343,,
1016,1106,163,728,
1728,163,15,,
523,188,163,,
163,636,2173,846,
145,163,1333,,
163,846,,,
1136,1016,163,,
163,191,,,
163,430,686,1947,
1969,163,,,
129,163,191,,
145,163,,,
163,1980,,,
793,163,1685,,
1696,2361,163,1257,
163,964,965,902,910
1153,163,,,
163,2058,846,219,188
163,1069,,,
793,163,422,,
1153,163,,,
163,188,,,
1728,163,207,,
1466,163,,,
1136,163,,,
163,1558,1159,,
1184,1178,163,2175,
1184,163,380,,
1153,163,1063,1106,1305
163,2220,1911,1839,
2152,163,1533,2470,
163,189,191,,
1305,163,343,1911,
163,219,,,
1178,163,,,
938,163,380,2267,
1850,163,,,
793,163,,,
145,163,,,
145,163,,,
145,163,,,
2248,145,163,2251,
1153,163,,,
2089,1218,163,,
2202,163,,,
1114,163,2334,,
2089,145,163,1218,
1153,163,380,,
1257,163,2261,2175,
163,967,,,
163,965,237,1136,1523
1890,163,1060,2254,
1136,163,,,
163,1775,,,
1728,1793,1795,163,
163,1069,1685,,
2659,163,743,744,2030
163,262,,,
163,427,,,
578,163,1136,793,1467
961,163,988,,
163,188,717,,
793,163,1333,,
168,745,2603,2613,1663
1859,1860,552,82,565
552,455,,,
552,2537,2666,,
552,650,566,1006,
552,410,565,471,
552,82,565,410,
552,1378,565,82,
552,554,,,
552,210,565,,
552,490,45,295,
552,406,,,
552,2480,,,
552,1697,466,566,
162,294,552,565,566
552,875,565,294,
552,1378,2341,167,
552,465,565,294,
552,60,207,566,412
552,738,565,,
1573,294,552,764,2687
552,565,,,
552,1459,2485,483,
552,1459,565,967,
552,562,565,,
738,295,552,1459,63
552,562,1459,565,566
552,554,1459,559,
552,136,1259,565,479
552,1649,2658,565,
552,483,565,,
294,552,465,565,566
552,1459,,,
552,294,566,,
738,552,843,173,565
552,410,,,
611,3,552,1741,565
552,562,875,,
967,552,554,565,57
483,294,552,523,567
2406,295,2474,1459,1983
1459,2404,566,1527,
1649,898,523,1459,
162,875,1459,,
1378,1459,565,1118,
611,294,1459,565,566
490,1459,492,,
1459,558,1687,,
465,1459,565,294,
1697,1459,,,
554,565,621,471,
66,35,559,565,566
1934,558,559,2485,566
682,1859,1559,,
682,294,2647,,
87,638,631,,
2243,87,2471,,
1994,1995,,,
1800,1994,,,
1994,1995,,,
1800,1995,2301,,
523,565,479,,
523,1687,,,
929,2118,71,523,565
882,523,565,,
1378,523,565,1529,575
523,565,747,,
523,583,,,
2624,523,,,
523,1975,,,
615,712,523,1687,2334
2368,523,565,,
74,523,207,565,1146
417,523,2326,,
523,565,22,2334,415
523,565,294,,
465,523,294,,
523,565,566,,
1408,2402,523,1931,
